,match_id,date_planned_start,match_start,player_1,player_2,player_1_fh_goals,player_2_fh_goals,player_1_sh_goals,player_2_sh_goals,player_1_total_goals,player_2_total_goals,shift_n,match_count_within_shift,match_count_within_shift_player_pair,Total_goals,player_1_total_goals_est,player_2_total_goals_est,total_goals_est,result,result_est,outcomes_proba,over_4.5_goals_proba
7871,151781,1672560600,2023-01-01 08:10:09,14,19,0,5,0,1,0,6,871.0,6,2,6,1.7185636,2.047952,3.7665155,2,2,32.92 - 21.14 - 45.94,32.56544615893386
7872,151782,1672561440,2023-01-01 08:24:12,8,14,1,2,3,0,4,2,871.0,7,3,6,2.0395296,1.7212065,3.760736,1,1,45.71 - 21.17 - 33.12,32.45335429521047
7873,151783,1672562280,2023-01-01 08:38:10,8,19,2,0,0,3,2,3,871.0,8,3,5,1.672796,1.7062588,3.3790548,2,2,37.94 - 22.72 - 39.34,25.19334993496213
7874,151784,1672563120,2023-01-01 08:52:50,14,19,0,2,0,2,0,4,871.0,9,3,4,1.7723653,2.3285508,4.100916,2,2,29.61 - 19.77 - 50.61,39.0870472066619
7875,151785,1672563960,2023-01-01 09:06:00,8,14,1,1,1,1,2,2,871.0,10,4,4,2.1619232,1.7073455,3.8692687,0,1,48.54 - 20.61 - 30.85,34.564097732789435
7876,151786,1672564800,2023-01-01 09:20:05,8,19,2,1,2,0,4,1,871.0,11,4,5,1.7175871,1.7851728,3.50276,1,2,37.48 - 22.26 - 40.25,27.50762585647703
7877,151787,1672565640,2023-01-01 09:34:06,14,19,1,3,0,3,1,6,871.0,12,4,7,1.7706671,2.253715,4.024382,2,2,30.71 - 20.13 - 49.16,37.592640321951706
7878,151788,1672566480,2023-01-01 09:47:57,8,14,1,1,1,0,2,1,871.0,13,5,3,2.151805,1.7281775,3.8799825,1,1,47.92 - 20.64 - 31.44,34.772990226357884
7879,151789,1672567320,2023-01-01 10:02:03,8,19,0,0,2,0,2,0,871.0,14,5,2,1.7417227,1.7341571,3.4758797,1,1,38.97 - 22.37 - 38.66,27.000883601557224
7880,151790,1672568160,2023-01-01 10:16:03,14,19,1,0,1,3,2,3,871.0,15,5,5,1.7078439,2.0779996,3.7858434,2,2,32.2 - 21.01 - 46.78,32.940600833741264
7881,151791,1672569000,2023-01-01 10:30:04,8,14,0,0,0,1,0,1,871.0,16,6,1,2.040496,1.7311766,3.7716727,2,1,45.53 - 21.15 - 33.31,32.66550523059588
7882,151792,1672569840,2023-01-01 10:43:56,8,19,1,0,2,1,3,1,871.0,17,6,4,1.723712,1.706698,3.43041,1,1,39.09 - 22.53 - 38.38,26.14841501031317
7883,151793,1672570680,2023-01-01 10:58:01,14,19,0,0,1,3,1,3,871.0,18,6,4,1.8031181,1.9257706,3.7288888,2,2,36.82 - 21.48 - 41.7,31.83643845797912
7884,151794,1672571520,2023-01-01 11:12:01,8,14,3,1,1,1,4,2,871.0,19,7,6,1.9060695,1.7578619,3.6639314,1,1,42.14 - 21.67 - 36.19,30.58276190166923
